batter,bowler,Balls_Faced,Runs_Scored,Times_Out,Fours,Sixes,Strike_Rate,Dismissal_Rate
CH Gayle,AG Murtaza,10,43,0,3,5,430.0,0.0
HH Pandya,AS Rajpoot,11,42,0,0,6,381.8181818181818,0.0
RA Jadeja,LH Ferguson,11,41,1,3,4,372.7272727272727,0.09090909090909091
EJG Morgan,K Rabada,12,43,0,2,5,358.33333333333337,0.0
HH Pandya,P Negi,11,39,0,2,5,354.54545454545456,0.0
M Vijay,S Narwal,17,58,0,5,6,341.1764705882353,0.0
RK Singh,Yash Dayal,11,37,1,1,5,336.3636363636364,0.09090909090909091
KD Karthik,Akash Madhwal,10,33,0,5,2,330.0,0.0
KH Pandya,MA Wood,10,33,0,4,2,330.0,0.0
SA Yadav,M Jansen,12,39,1,4,3,325.0,0.08333333333333333
WG Jacks,MM Sharma,12,39,0,3,4,325.0,0.0
HM Amla,SL Malinga,16,51,0,4,5,318.75,0.0
DJ Hooda,S Gopal,12,38,0,1,5,316.66666666666663,0.0
MP Stoinis,M Prasidh Krishna,16,50,1,5,4,312.5,0.0625
CH Gayle,P Negi,10,31,0,1,4,310.0,0.0
SA Yadav,VG Arora,10,31,0,3,3,310.0,0.0
PD Salt,HV Patel,10,31,0,1,4,310.0,0.0
F du Plessis,J Little,11,34,1,5,2,309.09090909090907,0.09090909090909091
AB de Villiers,DJG Sammy,11,34,0,2,3,309.09090909090907,0.0
CH Gayle,MR Marsh,12,37,0,1,5,308.33333333333337,0.0
RM Patidar,M Markande,14,43,1,0,6,307.14285714285717,0.07142857142857142
Abhishek Sharma,Yash Thakur,14,43,0,6,3,307.14285714285717,0.0
V Sehwag,LJ Wright,11,33,0,2,3,300.0,0.0
CH Gayle,RS Bopara,10,30,0,0,4,300.0,0.0
AD Russell,TG Southee,16,48,1,1,6,300.0,0.0625
JP Duminy,A Singh,10,30,0,3,2,300.0,0.0
V Sehwag,JD Ryder,10,30,1,3,2,300.0,0.1
JC Buttler,Basil Thampi,14,42,0,4,4,300.0,0.0
Yuvraj Singh,AB Dinda,13,39,0,4,3,300.0,0.0
SO Hetmyer,AS Joseph,10,30,0,1,3,300.0,0.0
SV Samson,JA Richardson,10,30,0,3,2,300.0,0.0
GJ Maxwell,GB Hogg,13,39,0,4,3,300.0,0.0
HH Pandya,Kartik Tyagi,10,30,0,2,3,300.0,0.0
BCJ Cutting,SR Watson,16,48,1,2,6,300.0,0.0625
SP Narine,S Badree,16,48,0,5,4,300.0,0.0
KA Pollard,NLTC Perera,17,50,0,4,5,294.11764705882354,0.0
AB de Villiers,AB Dinda,17,50,0,6,3,294.11764705882354,0.0
Q de Kock,D Wiese,16,47,0,7,2,293.75,0.0
TH David,T Natarajan,16,47,1,4,4,293.75,0.0625
CH Gayle,R Sharma,14,41,1,2,5,292.85714285714283,0.07142857142857142
PJ Cummins,SM Curran,14,41,1,1,5,292.85714285714283,0.07142857142857142
KA Pollard,T Natarajan,13,38,0,2,4,292.30769230769226,0.0
YBK Jaiswal,JR Hazlewood,13,38,1,4,3,292.30769230769226,0.07692307692307693
SS Iyer,TM Head,13,38,0,3,3,292.30769230769226,0.0
Abhishek Sharma,Kuldeep Yadav,13,38,2,1,5,292.30769230769226,0.15384615384615385
KM Jadhav,P Kumar,12,35,1,2,3,291.66666666666663,0.08333333333333333
A Symonds,S Sreesanth,12,35,0,3,3,291.66666666666663,0.0
JC Buttler,HR Shokeen,11,32,1,2,4,290.90909090909093,0.09090909090909091
LS Livingstone,DG Nalkande,11,32,0,4,2,290.90909090909093,0.0
JH Kallis,Bipul Sharma,11,32,0,2,3,290.90909090909093,0.0
AD Russell,MP Stoinis,11,32,0,0,5,290.90909090909093,0.0
